TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
130,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
18,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
90,1,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
93,3,MULTI,NO_M,SINGLE_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
201,2,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
1,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
8,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
139,3,MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
9,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
209,3,MULTI,NO_M,NO_C,ADV,UNKNOWN,NO,NO_F,12 MONTHS,NO
37,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
174,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
188,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
65,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
147,3,MULTI,SINGLE_M,SINGLE_C,N,SILVER,NO,SINGLE_F,36+ MONTHS,NO
154,1,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,30 MONTHS,YES
104,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
135,3,MULTI,SINGLE_M,NO_C,N,SILVER,NO,NO_F,30 MONTHS,NO
151,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
125,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
49,3,MULTI,NO_M,MULTI_C,N,SILVER,NO,SINGLE_F,12 MONTHS,NO
211,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
50,3,MULTI,NO_M,NO_C,N,BUSINESS,NO,NO_F,36+ MONTHS,NO
41,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
111,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
160,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
57,3,MULTI,NO_M,NO_C,N,SILVER,YES,NO_F,36+ MONTHS,NO
120,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
114,3,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
202,1,MULTI,SINGLE_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
58,3,MULTI,SINGLE_M,MULTI_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
142,3,MULTI,NO_M,MULTI_C,N,SILVER,NO,SINGLE_F,36+ MONTHS,NO
