TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
MULTI,NO_M,SINGLE_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,ADV,UNKNOWN,NO,NO_F,12 MONTHS,NO
MULTI,SINGLE_M,SINGLE_C,N,SILVER,NO,SINGLE_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,30 MONTHS,YES
MULTI,SINGLE_M,NO_C,N,SILVER,NO,NO_F,30 MONTHS,NO
MULTI,NO_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
MULTI,NO_M,MULTI_C,N,SILVER,NO,SINGLE_F,12 MONTHS,NO
MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
MULTI,NO_M,NO_C,N,BUSINESS,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,SILVER,YES,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
MULTI,SINGLE_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,YES
MULTI,SINGLE_M,MULTI_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
MULTI,NO_M,MULTI_C,N,SILVER,NO,SINGLE_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,PASS,GOLD,NO,NO_F,36+ MONTHS,NO
SINGLE,NO_M,SINGLE_C,N,GOLD,YES,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36 MONTHS,NO
MULTI,NO_M,NO_C,PASS,UNKNOWN,NO,NO_F,36+ MONTHS,NO
MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
MULTI,NO_M,MULTI_C,N,SILVER,NO,MULTI_F,30 MONTHS,NO
MULTI,NO_M,MULTI_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,24 MONTHS,NO
MULTI,NO_M,NO_C,N,MEMBER,NO,NO_F,36+ MONTHS,NO
MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
MULTI,MULTI_M,NO_C,DET,GOLD,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,MULTI_F,36+ MONTHS,NO
MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,SINGLE_F,6 MONTHS,NO
MULTI,NO_M,MULTI_C,N,SILVER,NO,NO_F,12 MONTHS,NO
SINGLE,NO_M,NO_C,N,MEMBER,NO,NO_F,36+ MONTHS,NO
SINGLE,NO_M,NO_C,DET,UNKNOWN,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,MULTI_C,N,MEMBER,NO,MULTI_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,NO
MULTI,NO_M,NO_C,ADV,GOLD,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,ADV,SILVER,NO,NO_F,12 MONTHS,NO
MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36 MONTHS,NO
SINGLE,NO_M,NO_C,ADV,SILVER,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,ADV,MEMBER,NO,NO_F,12 MONTHS,NO
SINGLE,NO_M,MULTI_C,PASS,MEMBER,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
SINGLE,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,12 MONTHS,YES
MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,MULTI_F,36+ MONTHS,NO
MULTI,NO_M,SINGLE_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
MULTI,SINGLE_M,SINGLE_C,N,GOLD,NO,MULTI_F,36+ MONTHS,NO
MULTI,NO_M,MULTI_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
MULTI,MULTI_M,NO_C,N,UNKNOWN,NO,NO_F,6 MONTHS,NO
SINGLE,NO_M,SINGLE_C,N,MEMBER,NO,NO_F,36+ MONTHS,YES
MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,18 MONTHS,NO
MULTI,NO_M,SINGLE_C,N,GOLD,NO,NO_F,36+ MONTHS,NO
SINGLE,MULTI_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
SINGLE,NO_M,NO_C,N,SILVER,NO,NO_F,18 MONTHS,YES
MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
MULTI,NO_M,NO_C,N,MEMBER,NO,NO_F,30 MONTHS,NO
MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
SINGLE,SINGLE_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,12 MONTHS,NO
SINGLE,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
SINGLE,NO_M,NO_C,N,MEMBER,YES,NO_F,36+ MONTHS,YES
MULTI,NO_M,MULTI_C,N,UNKNOWN,YES,SINGLE_F,36+ MONTHS,NO
SINGLE,NO_M,SINGLE_C,N,SILVER,NO,NO_F,36 MONTHS,YES
SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,18 MONTHS,YES
SINGLE,SINGLE_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
MULTI,MULTI_M,MULTI_C,N,SILVER,YES,NO_F,12 MONTHS,YES
