TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
1,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
4,2,SINGLE,NO_M,SINGLE_C,N,GOLD,NO,NO_F,36 MONTHS,YES
5,3,SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
7,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
8,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
9,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
11,1,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
13,3,SINGLE,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
16,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
18,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
19,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
23,3,MULTI,NO_M,SINGLE_C,N,UNKNOWN,NO,MULTI_F,36+ MONTHS,NO
24,3,SINGLE,NO_M,NO_C,N,MEMBER,NO,NO_F,36+ MONTHS,NO
28,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
30,2,SINGLE,SINGLE_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
31,2,SINGLE,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
32,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,24 MONTHS,NO
34,3,MULTI,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,NO
37,3,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
40,3,SINGLE,NO_M,NO_C,ADV,SILVER,NO,NO_F,36+ MONTHS,NO
41,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
42,1,MULTI,NO_M,MULTI_C,N,GOLD,YES,NO_F,36+ MONTHS,YES
43,1,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
46,1,MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
